category	slug	title	sound_id	duration	size	source	audio_url
strong_electronic	phone-alarm	iPhone Ringtone Alarm	0451	4.059200	163328	https://bigsoundbank.com/iphone-ringtone-alarm-s0451.html	https://bigsoundbank.com/UPLOAD/mp3/0451.mp3
strong_electronic	electronic-buzzer-1	Electronic Alarm Buzzer 1	0035	21.969000	265719	https://bigsoundbank.com/electronic-alarm-buzzer-1-s0035.html	https://bigsoundbank.com/UPLOAD/mp3/0035.mp3
strong_electronic	electronic-buzzer-3	Electronic Alarm Buzzer 3	0173	5.564082	114859	https://bigsoundbank.com/electronic-alarm-buzzer-3-s0173.html	https://bigsoundbank.com/UPLOAD/mp3/0173.mp3
strong_electronic	electronic-buzzer-2	Electronic Alarm Buzzer 2	0089	5.064000	62859	https://bigsoundbank.com/electronic-alarm-buzzer-2-s0089.html	https://bigsoundbank.com/UPLOAD/mp3/0089.mp3
strong_electronic	piezo-alarm-1	Piezo Alarm 1	1592	8.112000	325668	https://bigsoundbank.com/piezo-alarm-1-s1592.html	https://bigsoundbank.com/UPLOAD/mp3/1592.mp3
strong_electronic	piezo-alarm-3	Piezo Alarm 3	1996	13.752000	551268	https://bigsoundbank.com/piezo-alarm-3-s1996.html	https://bigsoundbank.com/UPLOAD/mp3/1996.mp3
strong_electronic	buzzer-4	Buzzer 4	1586	1.080000	44388	https://bigsoundbank.com/buzzer-4-s1586.html	https://bigsoundbank.com/UPLOAD/mp3/1586.mp3
pager_beep	digital-pager	Digital Pager	3513	8.067200	322920	https://bigsoundbank.com/digital-pager-s3513.html	https://bigsoundbank.com/UPLOAD/mp3/3513.mp3
pager_beep	alphanumeric-pager	Alphanumeric Pager	3514	12.051200	482280	https://bigsoundbank.com/alphanumeric-pager-s3514.html	https://bigsoundbank.com/UPLOAD/mp3/3514.mp3
pager_beep	digital-watch-alarm	Digital Watch Alarm	2256	10.059200	402554	https://bigsoundbank.com/digital-watch-alarm-s2256.html	https://bigsoundbank.com/UPLOAD/mp3/2256.mp3
sirens_alerts	two-tone-siren	Two Tone Siren	1464	8.160000	327588	https://bigsoundbank.com/ambulance-siren-2-s1464.html	https://bigsoundbank.com/UPLOAD/mp3/1464.mp3
sirens_alerts	three-tone-siren	Three Tone Siren	1463	20.136000	806628	https://bigsoundbank.com/ambulance-siren-1-s1463.html	https://bigsoundbank.com/UPLOAD/mp3/1463.mp3
sirens_alerts	vehicle-siren	Vehicle Siren	2731	97.109333	2330720	https://bigsoundbank.com/vehicle-siren-s2731.html	https://bigsoundbank.com/UPLOAD/mp3/2731.mp3
sirens_alerts	evacuation-alarm-1	Evacuation Alarm 1	3411	5.355200	214461	https://bigsoundbank.com/evacuation-alarm-1-s3411.html	https://bigsoundbank.com/UPLOAD/mp3/3411.mp3
sirens_alerts	evacuation-alarm-3	Evacuation Alarm 3	3413	17.403200	696381	https://bigsoundbank.com/evacuation-alarm-3-s3413.html	https://bigsoundbank.com/UPLOAD/mp3/3413.mp3
sirens_alerts	national-alert-test	National Alert Test	3258	106.563200	4262733	https://bigsoundbank.com/national-alert-signal-test-s3258.html	https://bigsoundbank.com/UPLOAD/mp3/3258.mp3
mechanical_bells	mechanical-clock	Mechanical Alarm Clock 11	2814	15.485333	371744	https://bigsoundbank.com/mechanical-alarm-clock-ringtone-11-s2814.html	https://bigsoundbank.com/UPLOAD/mp3/2814.mp3
mechanical_bells	mechanical-clock-tick-5	Mechanical Alarm Clock Tick 5	2816	28.637333	687392	https://bigsoundbank.com/tic-tac-mechanical-alarm-clock-5-s2816.html	https://bigsoundbank.com/UPLOAD/mp3/2816.mp3
mechanical_bells	mechanical-clock-tick-3	Mechanical Alarm Clock Tick 3	2656	20.453333	490976	https://bigsoundbank.com/tic-tac-mechanical-alarm-clock-3-s2656.html	https://bigsoundbank.com/UPLOAD/mp3/2656.mp3
mechanical_bells	mechanical-short-ring	Mechanical Alarm Clock Short Ring	1375	13.224000	530148	https://bigsoundbank.com/mechanical-alarm-clock-long-ring-2-s1375.html	https://bigsoundbank.com/UPLOAD/mp3/1375.mp3
mechanical_bells	mechanical-doorbell	Mechanical Entrance Doorbell	3046	4.083200	163533	https://bigsoundbank.com/mechanical-entrance-doorbell-3-s3046.html	https://bigsoundbank.com/UPLOAD/mp3/3046.mp3
mechanical_bells	industrial-doorbell	Industrial Doorbell	1269	10.368000	415908	https://bigsoundbank.com/industrial-doorbell-s1269.html	https://bigsoundbank.com/UPLOAD/mp3/1269.mp3
animal_wake	rooster	Rooster Song	0283	2.351025	96155	https://bigsoundbank.com/song-of-rooster-s0283.html	https://bigsoundbank.com/UPLOAD/mp3/0283.mp3
animal_wake	barking-dogs	Barking Dogs	0288	7.575525	305142	https://bigsoundbank.com/barking-dogs-s0288.html	https://bigsoundbank.com/UPLOAD/mp3/0288.mp3
animal_wake	crow	Crow 4	2767	0.437333	10592	https://bigsoundbank.com/crow-4-s2767.html	https://bigsoundbank.com/UPLOAD/mp3/2767.mp3
